kode,week,kabupaten,sex,periode_covid_Tgl Lahir,dosis,timely,untimely,total,ratio_timely,ratio_untimely,tanggal_awal_minggu,jenis_wilayah,week_shifted,periode_covid,month
1,2018-W07,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,22,0,22,100.0,0.0,2018-02-11,rural,6,before_covid,2018-02
1,2018-W07,GUNUNG KIDUL,unknown,before_covid,dosis_1,0,4,4,0.0,100.0,2018-02-11,rural,6,before_covid,2018-02
1,2018-W07,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,5,0,5,100.0,0.0,2018-02-11,urban,6,before_covid,2018-02
1,2018-W07,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,5,0,5,100.0,0.0,2018-02-11,urban,6,before_covid,2018-02
1,2018-W07,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-02-11,rural,6,before_covid,2018-02
1,2018-W07,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-02-11,rural,6,before_covid,2018-02
1,2018-W07,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,17,0,17,100.0,0.0,2018-02-11,urban,6,before_covid,2018-02
1,2018-W07,SLEMAN,Laki-laki,before_covid,dosis_1,0,2,2,0.0,100.0,2018-02-11,urban,6,before_covid,2018-02
1,2018-W07,SLEMAN,Perempuan,before_covid,HB 0 & BCG,31,0,31,100.0,0.0,2018-02-11,urban,6,before_covid,2018-02
1,2018-W07,SLEMAN,Perempuan,before_covid,dosis_1,0,1,1,0.0,100.0,2018-02-11,urban,6,before_covid,2018-02
1,2018-W08,BANTUL,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,BANTUL,Laki-laki,before_covid,dosis_1,0,1,1,0.0,100.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,BANTUL,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,21,0,21,100.0,0.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,GUNUNG KIDUL,unknown,before_covid,dosis_1,0,2,2,0.0,100.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,13,0,13,100.0,0.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W08,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_2,0,2,2,0.0,100.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W08,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W08,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-02-18,rural,7,before_covid,2018-02
1,2018-W08,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,37,0,37,100.0,0.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W08,SLEMAN,Laki-laki,before_covid,dosis_1,0,1,1,0.0,100.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W08,SLEMAN,Perempuan,before_covid,HB 0 & BCG,23,0,23,100.0,0.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W08,SLEMAN,Perempuan,before_covid,dosis_1,0,4,4,0.0,100.0,2018-02-18,urban,7,before_covid,2018-02
1,2018-W09,BANTUL,Laki-laki,before_covid,HB 0 & BCG,11,0,11,100.0,0.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,BANTUL,Laki-laki,before_covid,dosis_1,0,5,5,0.0,100.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,BANTUL,Perempuan,before_covid,HB 0 & BCG,10,0,10,100.0,0.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,GUNUNG KIDUL,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,16,0,16,100.0,0.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,GUNUNG KIDUL,unknown,before_covid,dosis_1,2,0,2,100.0,0.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,11,0,11,100.0,0.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,0,1,1,0.0,100.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_3,0,2,2,0.0,100.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,10,0,10,100.0,0.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-02-25,rural,8,before_covid,2018-02
1,2018-W09,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,30,0,30,100.0,0.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,SLEMAN,Laki-laki,before_covid,dosis_1,2,1,3,66.66666666666666,33.33333333333333,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,SLEMAN,Perempuan,before_covid,HB 0 & BCG,30,0,30,100.0,0.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W09,SLEMAN,Perempuan,before_covid,dosis_1,8,0,8,100.0,0.0,2018-02-25,urban,8,before_covid,2018-02
1,2018-W10,BANTUL,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,BANTUL,Perempuan,before_covid,dosis_1,0,2,2,0.0,100.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,8,1,9,88.88888888888889,11.11111111111111,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,GUNUNG KIDUL,unknown,before_covid,dosis_1,3,2,5,60.0,40.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,5,0,5,100.0,0.0,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,8,0,8,100.0,0.0,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,7,0,7,100.0,0.0,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_1,14,2,16,87.5,12.5,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,10,0,10,100.0,0.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,KULON PROGO,Laki-laki,before_covid,dosis_1,2,0,2,100.0,0.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,9,0,9,100.0,0.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,KULON PROGO,Perempuan,before_covid,dosis_1,6,0,6,100.0,0.0,2018-03-04,rural,9,before_covid,2018-03
1,2018-W10,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,50,0,50,100.0,0.0,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,SLEMAN,Laki-laki,before_covid,dosis_1,29,2,31,93.54838709677419,6.451612903225806,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,SLEMAN,Laki-laki,before_covid,dosis_2,0,1,1,0.0,100.0,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,SLEMAN,Perempuan,before_covid,HB 0 & BCG,39,0,39,100.0,0.0,2018-03-04,urban,9,before_covid,2018-03
1,2018-W10,SLEMAN,Perempuan,before_covid,dosis_1,33,6,39,84.61538461538461,15.384615384615385,2018-03-04,urban,9,before_covid,2018-03
1,2018-W11,BANTUL,Laki-laki,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,BANTUL,Perempuan,before_covid,HB 0 & BCG,4,0,4,100.0,0.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,BANTUL,Perempuan,before_covid,dosis_1,4,0,4,100.0,0.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,29,2,31,93.54838709677419,6.451612903225806,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,GUNUNG KIDUL,unknown,before_covid,dosis_1,24,2,26,92.3076923076923,7.6923076923076925,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,GUNUNG KIDUL,unknown,before_covid,dosis_2,0,4,4,0.0,100.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,9,0,9,100.0,0.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,10,0,10,100.0,0.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,6,0,6,100.0,0.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_1,10,0,10,100.0,0.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,4,0,4,100.0,0.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,KULON PROGO,Perempuan,before_covid,dosis_1,2,0,2,100.0,0.0,2018-03-11,rural,10,before_covid,2018-03
1,2018-W11,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,44,0,44,100.0,0.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,SLEMAN,Laki-laki,before_covid,dosis_1,45,3,48,93.75,6.25,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,SLEMAN,Laki-laki,before_covid,dosis_2,0,2,2,0.0,100.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,SLEMAN,Perempuan,before_covid,HB 0 & BCG,36,0,36,100.0,0.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,SLEMAN,Perempuan,before_covid,dosis_1,57,1,58,98.27586206896551,1.7241379310344827,2018-03-11,urban,10,before_covid,2018-03
1,2018-W11,SLEMAN,Perempuan,before_covid,dosis_2,0,1,1,0.0,100.0,2018-03-11,urban,10,before_covid,2018-03
1,2018-W12,BANTUL,Laki-laki,before_covid,HB 0 & BCG,6,1,7,85.71428571428571,14.285714285714285,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,BANTUL,Laki-laki,before_covid,dosis_1,3,0,3,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,BANTUL,Perempuan,before_covid,HB 0 & BCG,9,0,9,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,BANTUL,Perempuan,before_covid,dosis_1,26,0,26,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,17,1,18,94.44444444444444,5.555555555555555,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,GUNUNG KIDUL,unknown,before_covid,dosis_1,39,2,41,95.1219512195122,4.878048780487805,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,9,0,9,100.0,0.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,18,0,18,100.0,0.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,13,0,13,100.0,0.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_1,8,0,8,100.0,0.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,KULON PROGO,Laki-laki,before_covid,dosis_1,2,0,2,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,KULON PROGO,Perempuan,before_covid,dosis_1,2,0,2,100.0,0.0,2018-03-18,rural,11,before_covid,2018-03
1,2018-W12,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,32,1,33,96.96969696969697,3.0303030303030303,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,SLEMAN,Laki-laki,before_covid,dosis_1,63,0,63,100.0,0.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,SLEMAN,Laki-laki,before_covid,dosis_2,0,2,2,0.0,100.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,SLEMAN,Perempuan,before_covid,HB 0 & BCG,24,1,25,96.0,4.0,2018-03-18,urban,11,before_covid,2018-03
1,2018-W12,SLEMAN,Perempuan,before_covid,dosis_1,36,5,41,87.8048780487805,12.195121951219512,2018-03-18,urban,11,before_covid,2018-03
1,2018-W13,BANTUL,Laki-laki,before_covid,HB 0 & BCG,8,0,8,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,BANTUL,Laki-laki,before_covid,dosis_1,30,0,30,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,BANTUL,Laki-laki,before_covid,dosis_2,0,2,2,0.0,100.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,BANTUL,Perempuan,before_covid,HB 0 & BCG,6,0,6,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,BANTUL,Perempuan,before_covid,dosis_1,10,0,10,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,33,1,34,97.05882352941177,2.941176470588235,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,GUNUNG KIDUL,unknown,before_covid,dosis_1,42,0,42,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,8,1,9,88.88888888888889,11.11111111111111,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,21,0,21,100.0,0.0,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,9,1,10,90.0,10.0,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_1,14,0,14,100.0,0.0,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,KULON PROGO,Laki-laki,before_covid,dosis_1,2,0,2,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,KULON PROGO,Perempuan,before_covid,dosis_1,2,0,2,100.0,0.0,2018-03-25,rural,12,before_covid,2018-03
1,2018-W13,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,24,0,24,100.0,0.0,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,SLEMAN,Laki-laki,before_covid,dosis_1,63,2,65,96.92307692307692,3.076923076923077,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,SLEMAN,Perempuan,before_covid,HB 0 & BCG,22,1,23,95.65217391304348,4.3478260869565215,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,SLEMAN,Perempuan,before_covid,dosis_1,60,3,63,95.23809523809523,4.761904761904762,2018-03-25,urban,12,before_covid,2018-03
1,2018-W13,SLEMAN,Perempuan,before_covid,dosis_2,0,1,1,0.0,100.0,2018-03-25,urban,12,before_covid,2018-03
1,2018-W14,BANTUL,Laki-laki,before_covid,HB 0 & BCG,9,2,11,81.81818181818183,18.181818181818183,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,BANTUL,Laki-laki,before_covid,dosis_1,2,0,2,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,BANTUL,Perempuan,before_covid,HB 0 & BCG,3,3,6,50.0,50.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,BANTUL,Perempuan,before_covid,dosis_1,2,4,6,33.33333333333333,66.66666666666666,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,BANTUL,Perempuan,before_covid,dosis_2,0,2,2,0.0,100.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,15,0,15,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,GUNUNG KIDUL,unknown,before_covid,dosis_1,12,0,12,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,GUNUNG KIDUL,unknown,before_covid,dosis_2,1,0,1,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,8,0,8,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,8,0,8,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_2,4,0,4,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,11,1,12,91.66666666666666,8.333333333333332,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_1,12,0,12,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_2,4,0,4,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,4,0,4,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,KULON PROGO,Laki-laki,before_covid,dosis_1,14,0,14,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,1,2,3,33.33333333333333,66.66666666666666,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,KULON PROGO,Perempuan,before_covid,dosis_1,14,0,14,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,KULON PROGO,Perempuan,before_covid,dosis_2,2,0,2,100.0,0.0,2018-04-01,rural,13,before_covid,2018-04
1,2018-W14,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,28,2,30,93.33333333333333,6.666666666666667,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,SLEMAN,Laki-laki,before_covid,dosis_1,35,4,39,89.74358974358975,10.256410256410255,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,SLEMAN,Laki-laki,before_covid,dosis_2,18,1,19,94.73684210526315,5.263157894736842,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,SLEMAN,Perempuan,before_covid,HB 0 & BCG,36,0,36,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,SLEMAN,Perempuan,before_covid,dosis_1,36,0,36,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W14,SLEMAN,Perempuan,before_covid,dosis_2,18,0,18,100.0,0.0,2018-04-01,urban,13,before_covid,2018-04
1,2018-W15,BANTUL,Perempuan,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-04-08,rural,14,before_covid,2018-04
1,2018-W15,BANTUL,Perempuan,before_covid,dosis_1,2,0,2,100.0,0.0,2018-04-08,rural,14,before_covid,2018-04
1,2018-W15,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,20,0,20,100.0,0.0,2018-04-08,rural,14,before_covid,2018-04
1,2018-W15,GUNUNG KIDUL,unknown,before_covid,dosis_1,33,4,37,89.1891891891892,10.81081081081081,2018-04-08,rural,14,before_covid,2018-04
1,2018-W15,GUNUNG KIDUL,unknown,before_covid,dosis_2,4,0,4,100.0,0.0,2018-04-08,rural,14,before_covid,2018-04
1,2018-W15,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,7,0,7,100.0,0.0,2018-04-08,urban,14,before_covid,2018-04
1,2018-W15,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,19,0,19,100.0,0.0,2018-04-08,urban,14,before_covid,2018-04
1,2018-W15,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_2,10,1,11,90.9090909090909,9.090909090909092,2018-04-08,urban,14,before_covid,2018-04
1,2018-W15,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,6,0,6,100.0,0.0,2018-04-08,urban,14,before_covid,2018-04
1,2018-W15,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_1,10,2,12,83.33333333333334,16.666666666666664,2018-04-08,urban,14,before_covid,2018-04
1,2018-W15,KOTA YOGYAKARTA,Perempuan,before_covid,dosis_2,12,0,12,100.0,0.0,2018-04-08,urban,14,before_covid,2018-04
